,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,MACD,MACD_lower,MACD_upper,RSI_14_Day,RSI_14_Day_lower,RSI_14_Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
54,2021-03-23,130.01095842340564,120.99063405119153,124.72359141114329,130.01095842340564,130.01095842340564,-4.803380226914227,-4.803380226914227,-4.803380226914227,-2.146219317108188,-2.146219317108188,-2.146219317108188,-7.213344530930575,-7.213344530930575,-7.213344530930575,-6.949599544022415,-6.949599544022415,-6.949599544022415,-0.2637449869081608,-0.2637449869081608,-0.2637449869081608,0.0,0.0,0.0,122.79761389247507
55,2021-03-24,129.86580588951557,119.8408548758228,123.55526752762111,129.86580588951557,129.86580588951557,-4.906542145060405,-4.906542145060405,-4.906542145060405,-3.046950045253329,-3.046950045253329,-3.046950045253329,-8.184351323231235,-8.184351323231235,-8.184351323231235,-7.953492190313734,-7.953492190313734,-7.953492190313734,-0.23085913291750038,-0.23085913291750038,-0.23085913291750038,0.0,0.0,0.0,121.68145456628433
56,2021-03-25,129.72065335562547,120.05628728048175,123.77954291571845,129.72065335562547,129.72065335562547,-4.890045634629479,-4.890045634629479,-4.890045634629479,-2.8071492687319286,-2.8071492687319286,-2.8071492687319286,-7.846532732272237,-7.846532732272237,-7.846532732272237,-7.6971949033614075,-7.6971949033614075,-7.6971949033614075,-0.1493378289108295,-0.1493378289108295,-0.1493378289108295,0.0,0.0,0.0,121.87412062335324
57,2021-03-26,129.74506031207474,120.37302460322371,124.23195673378751,129.74506031207474,129.74506031207474,-4.764766816039267,-4.764766816039267,-4.764766816039267,-2.499670841614688,-2.499670841614688,-2.499670841614688,-7.484999854448326,-7.484999854448326,-7.484999854448326,-7.264437657653955,-7.264437657653955,-7.264437657653955,-0.22056219679436995,-0.22056219679436995,-0.22056219679436995,0.0,0.0,0.0,122.26006045762642
58,2021-03-29,129.81828118142252,120.39118579145658,124.27370783288474,129.81828118142252,129.81828118142252,-4.611495896264617,-4.611495896264617,-4.611495896264617,-2.4063888988513913,-2.4063888988513913,-2.4063888988513913,-7.392428204385186,-7.392428204385186,-7.392428204385186,-7.017884795116009,-7.017884795116009,-7.017884795116009,-0.3745434092691778,-0.3745434092691778,-0.3745434092691778,0.0,0.0,0.0,122.42585297703734
59,2021-03-30,129.8426881378718,119.99470309579986,123.72147851746688,129.8426881378718,129.8426881378718,-4.64985828584624,-4.64985828584624,-4.64985828584624,-3.051805317706008,-3.051805317706008,-3.051805317706008,-7.965408590459774,-7.965408590459774,-7.965408590459774,-7.701663603552248,-7.701663603552248,-7.701663603552248,-0.263744986907526,-0.263744986907526,-0.263744986907526,0.0,0.0,0.0,121.87727954741202
60,2021-03-31,129.86709509432103,121.41830552793569,125.31574585672959,129.86709509432103,129.86709509432103,-4.363552651010135,-4.363552651010135,-4.363552651010135,-1.842942312259915,-1.842942312259915,-1.842942312259915,-6.437354096187602,-6.437354096187602,-6.437354096187602,-6.206494963270049,-6.206494963270049,-6.206494963270049,-0.23085913291755192,-0.23085913291755192,-0.23085913291755192,0.0,0.0,0.0,123.42974099813343
61,2021-04-01,129.8915020507703,122.41571382584223,126.11757007625161,129.8915020507703,129.8915020507703,-4.003712526582699,-4.003712526582699,-4.003712526582699,-1.4098569425003926,-1.4098569425003926,-1.4098569425003926,-5.562907297994832,-5.562907297994832,-5.562907297994832,-5.413569469083091,-5.413569469083091,-5.413569469083091,-0.14933782891174063,-0.14933782891174063,-0.14933782891174063,0.0,0.0,0.0,124.32859475277547
62,2021-04-05,129.98912987656735,124.26562213422521,128.26558307702888,129.98912987656735,129.98912987656735,-3.330343361794062,-3.330343361794062,-3.330343361794062,-0.04652223504181888,-0.04652223504181888,-0.04652223504181888,-3.7514090061064427,-3.7514090061064427,-3.7514090061064427,-3.376865596835881,-3.376865596835881,-3.376865596835881,-0.3745434092705614,-0.3745434092705614,-0.3745434092705614,0.0,0.0,0.0,126.2377208704609
63,2021-04-06,130.01353683301662,125.1046049067107,128.9781546384465,130.01353683301662,130.01353683301662,-2.7475150924732423,-2.7475150924732423,-2.7475150924732423,0.09097060735596033,0.09097060735596033,0.09097060735596033,-2.92028947202482,-2.92028947202482,-2.92028947202482,-2.656544485117282,-2.656544485117282,-2.656544485117282,-0.2637449869075383,-0.2637449869075383,-0.2637449869075383,0.0,0.0,0.0,127.0932473609918
