,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,MACD,MACD_lower,MACD_upper,RSI_14_Day,RSI_14_Day_lower,RSI_14_Day_upper,TSI,TSI_lower,TSI_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
34,2021-02-23,136.0497225262489,124.05344372257713,125.65070784039057,136.0497225262489,136.0497225262489,-12.04310604160145,-12.04310604160145,-12.04310604160145,-8.70243395154717,-8.70243395154717,-8.70243395154717,9.843449813699262,9.843449813699262,9.843449813699262,-11.209337270275883,-11.209337270275883,-11.209337270275883,-10.902090179449356,-10.902090179449356,-10.902090179449356,-0.3072470908265275,-0.3072470908265275,-0.3072470908265275,0.0,0.0,0.0,124.84038525597302
35,2021-02-24,135.89202054967745,123.33709925746987,124.81619574227629,135.89202054967745,135.89202054967745,-13.947523111752789,-13.947523111752789,-13.947523111752789,-9.048596239368457,-9.048596239368457,-9.048596239368457,11.456654249392168,11.456654249392168,11.456654249392168,-11.764338869903998,-11.764338869903998,-11.764338869903998,-11.539465101729082,-11.539465101729082,-11.539465101729082,-0.22487376817491583,-0.22487376817491583,-0.22487376817491583,0.0,0.0,0.0,124.12768167977346
36,2021-02-25,135.734318573106,119.92440833356457,121.50043176640406,135.734318573106,135.734318573106,-17.10817871824481,-17.10817871824481,-17.10817871824481,-11.616964115452184,-11.616964115452184,-11.616964115452184,13.951139302005757,13.951139302005757,13.951139302005757,-15.020816555122721,-15.020816555122721,-15.020816555122721,-14.774003531691237,-14.774003531691237,-14.774003531691237,-0.24681302343148234,-0.24681302343148234,-0.24681302343148234,0.0,0.0,0.0,120.71350201798329
37,2021-02-26,135.57661659653456,119.92593736990983,121.45606938733472,135.57661659653456,135.57661659653456,-19.35062733135098,-19.35062733135098,-19.35062733135098,-11.26259713081498,-11.26259713081498,-11.26259713081498,15.854273180708367,15.854273180708367,15.854273180708367,-14.921828323201165,-14.921828323201165,-14.921828323201165,-14.758951281457595,-14.758951281457595,-14.758951281457595,-0.16287704174356876,-0.16287704174356876,-0.16287704174356876,0.0,0.0,0.0,120.6547882733334
38,2021-03-01,135.1035106668202,126.35603718056788,127.84046667414366,135.1035106668202,135.1035106668202,-18.324610003197247,-18.324610003197247,-18.324610003197247,-4.248205569663935,-4.248205569663935,-4.248205569663935,14.939732989740774,14.939732989740774,14.939732989740774,-8.020413804534954,-8.020413804534954,-8.020413804534954,-7.633082583120408,-7.633082583120408,-7.633082583120408,-0.387331221414548,-0.387331221414548,-0.387331221414548,0.0,0.0,0.0,127.08309686228525
39,2021-03-02,134.94580869024875,124.25333733638531,125.81184924155934,134.94580869024875,134.94580869024875,-18.458215721079373,-18.458215721079373,-18.458215721079373,-6.046677887529272,-6.046677887529272,-6.046677887529272,14.894699729713858,14.894699729713858,14.894699729713858,-9.917440969721062,-9.917440969721062,-9.917440969721062,-9.610193878894787,-9.610193878894787,-9.610193878894787,-0.3072470908262746,-0.3072470908262746,-0.3072470908262746,0.0,0.0,0.0,125.0283677205277
40,2021-03-03,134.78810671367728,121.9001223361497,123.35246009118697,134.78810671367728,134.78810671367728,-19.656060164105085,-19.656060164105085,-19.656060164105085,-7.855171610631014,-7.855171610631014,-7.855171610631014,15.588786172941479,15.588786172941479,15.588786172941479,-12.147319369969743,-12.147319369969743,-12.147319369969743,-11.922445601794623,-11.922445601794623,-11.922445601794623,-0.2248737681751197,-0.2248737681751197,-0.2248737681751197,0.0,0.0,0.0,122.64078734370753
41,2021-03-04,134.5693624252502,119.9949853220788,121.56380167087276,134.5693624252502,134.5693624252502,-21.21853200119572,-21.21853200119572,-21.21853200119572,-8.886176338965447,-8.886176338965447,-8.886176338965447,16.559062496863447,16.559062496863447,16.559062496863447,-13.792458866728902,-13.792458866728902,-13.792458866728902,-13.545645843297718,-13.545645843297718,-13.545645843297718,-0.24681302343118516,-0.24681302343118516,-0.24681302343118516,0.0,0.0,0.0,120.7769035585213
42,2021-03-05,134.35061813682313,120.892242294308,122.40812552189401,134.35061813682313,134.35061813682313,-21.750813313031603,-21.750813313031603,-21.750813313031603,-7.636016631399307,-7.636016631399307,-7.636016631399307,16.85765509889398,16.85765509889398,16.85765509889398,-12.692051887282597,-12.692051887282597,-12.692051887282597,-12.529174845536934,-12.529174845536934,-12.529174845536934,-0.1628770417456658,-0.1628770417456658,-0.1628770417456658,0.0,0.0,0.0,121.65856624954053
43,2021-03-08,133.69438527154193,116.48279532377536,118.04802412089657,133.69438527154193,133.69438527154193,-24.029752873765222,-24.029752873765222,-24.029752873765222,-10.189992874313198,-10.189992874313198,-10.189992874313198,18.17136815417967,18.17136815417967,18.17136815417967,-16.435708815313895,-16.435708815313895,-16.435708815313895,-16.048377593898753,-16.048377593898753,-16.048377593898753,-0.38733122141513987,-0.38733122141513987,-0.38733122141513987,0.0,0.0,0.0,117.25867645622805
