,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Vol_Avg_Ind,Vol_Avg_Ind_lower,Vol_Avg_Ind_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
72,2021-04-19,126.30808703172683,121.8649915959683,132.15726607799078,126.30808703172683,126.30808703172683,0.14850077478528756,0.14850077478528756,0.14850077478528756,0.6833735157520167,0.6833735157520167,0.6833735157520167,0.14850077478528756,0.14850077478528756,0.14850077478528756,0.5348727409667291,0.5348727409667291,0.5348727409667291,0.0,0.0,0.0,126.99146054747885
73,2021-04-20,126.35069456034809,122.02762601475592,132.78803588733774,126.35069456034809,126.35069456034809,0.14915761123544552,0.14915761123544552,0.14915761123544552,0.9779099355825168,0.9779099355825168,0.9779099355825168,0.14915761123544552,0.14915761123544552,0.14915761123544552,0.8287523243470714,0.8287523243470714,0.8287523243470714,0.0,0.0,0.0,127.3286044959306
74,2021-04-21,126.39330208896936,122.24682686090819,132.26863550612873,126.39330208896936,126.39330208896936,0.11328575246704978,0.11328575246704978,0.11328575246704978,0.9496607170058176,0.9496607170058176,0.9496607170058176,0.11328575246704978,0.11328575246704978,0.11328575246704978,0.8363749645387677,0.8363749645387677,0.8363749645387677,0.0,0.0,0.0,127.34296280597518
75,2021-04-22,126.4359096175906,121.99982041408288,132.60592906239123,126.4359096175906,126.4359096175906,0.13984380390645396,0.13984380390645396,0.13984380390645396,0.8511366681354472,0.8511366681354472,0.8511366681354472,0.13984380390645396,0.13984380390645396,0.13984380390645396,0.7112928642289933,0.7112928642289933,0.7112928642289933,0.0,0.0,0.0,127.28704628572605
76,2021-04-23,126.47851714621187,121.80736087622392,132.9375904672225,126.47851714621187,126.47851714621187,0.12957135095590172,0.12957135095590172,0.12957135095590172,0.829499887763243,0.829499887763243,0.829499887763243,0.12957135095590172,0.12957135095590172,0.12957135095590172,0.6999285368073414,0.6999285368073414,0.6999285368073414,0.0,0.0,0.0,127.30801703397512
77,2021-04-26,126.60633973207561,122.02655695339952,133.027694051128,126.60633973207561,126.60633973207561,0.11121394266231094,0.11121394266231094,0.11121394266231094,0.6460866836308805,0.6460866836308805,0.6460866836308805,0.11121394266231094,0.11121394266231094,0.11121394266231094,0.5348727409685696,0.5348727409685696,0.5348727409685696,0.0,0.0,0.0,127.2524264157065
78,2021-04-27,126.64894726069689,122.38272709090478,132.92735177546905,126.64894726069689,126.64894726069689,0.10937157968483283,0.10937157968483283,0.10937157968483283,0.9381239040312894,0.9381239040312894,0.9381239040312894,0.10937157968483283,0.10937157968483283,0.10937157968483283,0.8287523243464566,0.8287523243464566,0.8287523243464566,0.0,0.0,0.0,127.58707116472817
79,2021-04-28,126.69155478931812,122.41921000525949,132.82542527195227,126.69155478931812,126.69155478931812,0.16859945098773838,0.16859945098773838,0.16859945098773838,1.00497441552616,1.00497441552616,1.00497441552616,0.16859945098773838,0.16859945098773838,0.16859945098773838,0.8363749645384215,0.8363749645384215,0.8363749645384215,0.0,0.0,0.0,127.69652920484428
80,2021-04-29,126.7341623179394,121.97057824402252,132.83930480632444,126.7341623179394,126.7341623179394,0.23302512150808471,0.23302512150808471,0.23302512150808471,0.9443179857355188,0.9443179857355188,0.9443179857355188,0.23302512150808471,0.23302512150808471,0.23302512150808471,0.7112928642274342,0.7112928642274342,0.7112928642274342,0.0,0.0,0.0,127.67848030367492
81,2021-04-30,126.77676985250575,122.3043611538392,132.82588358737956,126.77676985250575,126.77676985250575,0.19296211649977665,0.19296211649977665,0.19296211649977665,0.892890653306933,0.892890653306933,0.892890653306933,0.19296211649977665,0.19296211649977665,0.19296211649977665,0.6999285368071564,0.6999285368071564,0.6999285368071564,0.0,0.0,0.0,127.66966050581269
82,2021-05-03,126.9045924562048,122.39130715616628,132.64507464007824,126.9045924562048,126.9045924562048,0.1463304106499058,0.1463304106499058,0.1463304106499058,0.6812031516203157,0.6812031516203157,0.6812031516203157,0.1463304106499058,0.1463304106499058,0.1463304106499058,0.5348727409704099,0.5348727409704099,0.5348727409704099,0.0,0.0,0.0,127.5857956078251
83,2021-05-04,126.94719999077115,122.64820134960931,133.53824665086393,126.94719999077115,126.94719999077115,0.3378063929549952,0.3378063929549952,0.3378063929549952,1.1665587173020966,1.1665587173020966,1.1665587173020966,0.3378063929549952,0.3378063929549952,0.3378063929549952,0.8287523243471013,0.8287523243471013,0.8287523243471013,0.0,0.0,0.0,128.11375870807325
84,2021-05-05,126.98980752533748,123.02692693513836,133.4165461203787,126.98980752533748,126.98980752533748,0.2936901883888944,0.2936901883888944,0.2936901883888944,1.130065152928033,1.130065152928033,1.130065152928033,0.2936901883888944,0.2936901883888944,0.2936901883888944,0.8363749645391387,0.8363749645391387,0.8363749645391387,0.0,0.0,0.0,128.11987267826552
85,2021-05-06,127.03241505990384,122.72898820230465,133.36119928720447,127.03241505990384,127.03241505990384,0.3403356066687733,0.3403356066687733,0.3403356066687733,1.0516284708961312,1.0516284708961312,1.0516284708961312,0.3403356066687733,0.3403356066687733,0.3403356066687733,0.7112928642273578,0.7112928642273578,0.7112928642273578,0.0,0.0,0.0,128.08404353079996
86,2021-05-07,127.0750225944702,123.0385642306373,133.72877774887107,127.0750225944702,127.0750225944702,0.40667458467821543,0.40667458467821543,0.40667458467821543,1.10660312148233,1.10660312148233,1.10660312148233,0.40667458467821543,0.40667458467821543,0.40667458467821543,0.6999285368041146,0.6999285368041146,0.6999285368041146,0.0,0.0,0.0,128.18162571595252
87,2021-05-10,127.20284519816924,123.53272640419324,134.10864947821102,127.20284519816924,127.20284519816924,1.0690632457350786,1.0690632457350786,1.0690632457350786,1.6039359866995686,1.6039359866995686,1.6039359866995686,1.0690632457350786,1.0690632457350786,1.0690632457350786,0.5348727409644898,0.5348727409644898,0.5348727409644898,0.0,0.0,0.0,128.8067811848688
88,2021-05-11,127.2454527327356,119.74863727339411,130.08822885958682,127.2454527327356,127.2454527327356,-3.536627237125154,-3.536627237125154,-3.536627237125154,-2.707874912777408,-2.707874912777408,-2.707874912777408,-3.536627237125154,-3.536627237125154,-3.536627237125154,0.8287523243477459,0.8287523243477459,0.8287523243477459,0.0,0.0,0.0,124.53757781995819
89,2021-05-12,127.28806026593796,121.90952893817001,132.22347511474766,127.28806026593796,127.28806026593796,-0.5221142608251779,-0.5221142608251779,-0.5221142608251779,0.31426070371361475,0.31426070371361475,0.31426070371361475,-0.5221142608251779,-0.5221142608251779,-0.5221142608251779,0.8363749645387926,0.8363749645387926,0.8363749645387926,0.0,0.0,0.0,127.60232096965157
90,2021-05-13,127.3306677991403,122.1353838868841,133.11614342896715,127.3306677991403,127.3306677991403,-0.3546151055485341,-0.3546151055485341,-0.3546151055485341,0.3566777586793324,0.3566777586793324,0.3566777586793324,-0.3546151055485341,-0.3546151055485341,-0.3546151055485341,0.7112928642278665,0.7112928642278665,0.7112928642278665,0.0,0.0,0.0,127.68734555781964
91,2021-05-14,127.37327533234266,122.58485261228789,133.41391065214322,127.37327533234266,127.37327533234266,-0.27677673655057683,-0.27677673655057683,-0.27677673655057683,0.4231518002533524,0.4231518002533524,0.4231518002533524,-0.27677673655057683,-0.27677673655057683,-0.27677673655057683,0.6999285368039293,0.6999285368039293,0.6999285368039293,0.0,0.0,0.0,127.79642713259601
92,2021-05-17,127.50109793194969,122.72906591890782,133.1286945125959,127.50109793194969,127.50109793194969,-0.22980648743892404,-0.22980648743892404,-0.22980648743892404,0.3050662535255114,0.3050662535255114,0.3050662535255114,-0.22980648743892404,-0.22980648743892404,-0.22980648743892404,0.5348727409644355,0.5348727409644355,0.5348727409644355,0.0,0.0,0.0,127.8061641854752
93,2021-05-18,127.54370546515203,122.79054028002297,133.4753513844511,127.54370546515203,127.54370546515203,-0.16339853594851375,-0.16339853594851375,-0.16339853594851375,0.6653537883973584,0.6653537883973584,0.6653537883973584,-0.16339853594851375,-0.16339853594851375,-0.16339853594851375,0.8287523243458721,0.8287523243458721,0.8287523243458721,0.0,0.0,0.0,128.20905925354938
94,2021-05-19,127.58631299835439,123.07066889925413,133.7395573918264,127.58631299835439,127.58631299835439,-0.2200080186714177,-0.2200080186714177,-0.2200080186714177,0.6163669458674027,0.6163669458674027,0.6163669458674027,-0.2200080186714177,-0.2200080186714177,-0.2200080186714177,0.8363749645388204,0.8363749645388204,0.8363749645388204,0.0,0.0,0.0,128.20267994422179
95,2021-05-20,127.62892053155673,123.16238297777467,133.46660370545146,127.62892053155673,127.62892053155673,-0.2002485886309464,-0.2002485886309464,-0.2002485886309464,0.5110442755974287,0.5110442755974287,0.5110442755974287,-0.2002485886309464,-0.2002485886309464,-0.2002485886309464,0.7112928642283751,0.7112928642283751,0.7112928642283751,0.0,0.0,0.0,128.13996480715417
96,2021-05-21,127.67152806475907,123.29790099770273,133.47545138572195,127.67152806475907,127.67152806475907,-0.20000656459107458,-0.20000656459107458,-0.20000656459107458,0.49992197221833695,0.49992197221833695,0.49992197221833695,-0.20000656459107458,-0.20000656459107458,-0.20000656459107458,0.6999285368094115,0.6999285368094115,0.6999285368094115,0.0,0.0,0.0,128.1714500369774
97,2021-05-24,127.99857111474752,122.86667964151239,133.50438136550036,127.99857111474752,127.99857111474752,-0.17364534815197155,-0.17364534815197155,-0.17364534815197155,0.3612273928161993,0.3612273928161993,0.3612273928161993,-0.17364534815197155,-0.17364534815197155,-0.17364534815197155,0.5348727409681708,0.5348727409681708,0.5348727409681708,0.0,0.0,0.0,128.3597985075637
98,2021-05-25,128.10758546474366,123.1538258178666,134.09387507862456,128.10758546474366,128.10758546474366,-0.21839159501563668,-0.21839159501563668,-0.21839159501563668,0.6103607293308801,0.6103607293308801,0.6103607293308801,-0.21839159501563668,-0.21839159501563668,-0.21839159501563668,0.8287523243465169,0.8287523243465169,0.8287523243465169,0.0,0.0,0.0,128.71794619407456
99,2021-05-26,128.21659981473982,123.38857541229335,134.0457261098681,128.21659981473982,128.21659981473982,-0.17880267492447932,-0.17880267492447932,-0.17880267492447932,0.6575722896146843,0.6575722896146843,0.6575722896146843,-0.17880267492447932,-0.17880267492447932,-0.17880267492447932,0.8363749645391636,0.8363749645391636,0.8363749645391636,0.0,0.0,0.0,128.8741721043545
100,2021-05-27,128.32561416473595,123.17545590079264,133.74404604764223,128.32561416473595,128.32561416473595,-0.2900284706031345,-0.2900284706031345,-0.2900284706031345,0.42126439362574924,0.42126439362574924,0.42126439362574924,-0.2900284706031345,-0.2900284706031345,-0.2900284706031345,0.7112928642288838,0.7112928642288838,0.7112928642288838,0.0,0.0,0.0,128.74687855836171
101,2021-05-28,128.43462851473208,123.51933089292105,134.55817186541213,128.43462851473208,128.43462851473208,-0.19051277955457657,-0.19051277955457657,-0.19051277955457657,0.5094157572546496,0.5094157572546496,0.5094157572546496,-0.19051277955457657,-0.19051277955457657,-0.19051277955457657,0.6999285368092262,0.6999285368092262,0.6999285368092262,0.0,0.0,0.0,128.94404427198674
102,2021-06-01,128.87068591471666,124.2248458579157,135.08444713303228,128.87068591471666,128.87068591471666,-0.1608597558525886,-0.1608597558525886,-0.1608597558525886,0.6678925684951197,0.6678925684951197,0.6678925684951197,-0.1608597558525886,-0.1608597558525886,-0.1608597558525886,0.8287523243477083,0.8287523243477083,0.8287523243477083,0.0,0.0,0.0,129.53857848321178
103,2021-06-02,128.97970026471282,124.02793446554465,134.84757715699203,128.97970026471282,128.97970026471282,-0.1357804116762021,-0.1357804116762021,-0.1357804116762021,0.7005945528629894,0.7005945528629894,0.7005945528629894,-0.1357804116762021,-0.1357804116762021,-0.1357804116762021,0.8363749645391916,0.8363749645391916,0.8363749645391916,0.0,0.0,0.0,129.6802948175758
104,2021-06-03,129.08871461470898,124.14788923902901,135.154771711531,129.08871461470898,129.08871461470898,-0.16070364904991966,-0.16070364904991966,-0.16070364904991966,0.5505892151788878,0.5505892151788878,0.5505892151788878,-0.16070364904991966,-0.16070364904991966,-0.16070364904991966,0.7112928642288074,0.7112928642288074,0.7112928642288074,0.0,0.0,0.0,129.63930382988787
