,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,MACD,MACD_lower,MACD_upper,RSI_14_Day,RSI_14_Day_lower,RSI_14_Day_upper,SMA_20,SMA_20_lower,SMA_20_upper,SMA_50,SMA_50_lower,SMA_50_upper,TSI,TSI_lower,TSI_upper,Vol_Avg_Ind,Vol_Avg_Ind_lower,Vol_Avg_Ind_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2021-01-19,136.1094173991572,127.51889504888253,129.14816243456548,136.1094173991572,136.1094173991572,-0.6229110907349498,-0.6229110907349498,-0.6229110907349498,-2.567555614723986,-2.567555614723986,-2.567555614723986,-4.8504341410241105,-4.8504341410241105,-4.8504341410241105,-1.829723954271176,-1.829723954271176,-1.829723954271176,0.9324007667733931,0.9324007667733931,0.9324007667733931,-0.013337408190166116,-0.013337408190166116,-0.013337408190166116,-7.785025348474871,-7.785025348474871,-7.785025348474871,-8.951561442170995,-8.951561442170995,-8.951561442170995,1.1665360936961247,1.1665360936961247,1.1665360936961247,0.0,0.0,0.0,128.32439205068232
11,2021-01-20,136.18207885374457,131.14899436607317,132.7029825178563,136.18207885374457,136.18207885374457,-0.17001969441093898,-0.17001969441093898,-0.17001969441093898,0.515763913383818,0.515763913383818,0.515763913383818,-4.708782740124405,-4.708782740124405,-4.708782740124405,-1.7914013770039026,-1.7914013770039026,-1.7914013770039026,0.6896164271318613,0.6896164271318613,0.6896164271318613,-0.013741257417768722,-0.013741257417768722,-0.013741257417768722,-4.265772470111444,-4.265772470111444,-4.265772470111444,-5.478564728441336,-5.478564728441336,-5.478564728441336,1.2127922583298916,1.2127922583298916,1.2127922583298916,0.0,0.0,0.0,131.91630638363313
12,2021-01-21,136.25474030833192,134.87231094091135,136.49682957628272,136.25474030833192,136.25474030833192,1.3532524273932967,1.3532524273932967,1.3532524273932967,3.2994337812129744,3.2994337812129744,3.2994337812129744,-4.480874582525921,-4.480874582525921,-4.480874582525921,-1.7386408131557494,-1.7386408131557494,-1.7386408131557494,-0.16490077345624718,-0.16490077345624718,-0.16490077345624718,-0.01176794479707507,-0.01176794479707507,-0.01176794479707507,-0.5914251458557825,-0.5914251458557825,-0.5914251458557825,-1.743497905328722,-1.743497905328722,-1.743497905328722,1.1520727594729392,1.1520727594729392,1.1520727594729392,0.0,0.0,0.0,135.66331516247612
13,2021-01-22,136.3274017629193,137.109794657543,138.62499673962586,136.3274017629193,136.3274017629193,3.0378467109565244,3.0378467109565244,3.0378467109565244,4.376836931779646,4.376836931779646,4.376836931779646,-4.291214165110381,-4.291214165110381,-4.291214165110381,-1.672617478332283,-1.672617478332283,-1.672617478332283,-1.1035975007086107,-1.1035975007086107,-1.1035975007086107,-0.00889817660868425,-0.00889817660868425,-0.00889817660868425,1.5484080120328763,1.5484080120328763,1.5484080120328763,0.3383563219762128,0.3383563219762128,0.3383563219762128,1.2100516900566638,1.2100516900566638,1.2100516900566638,0.0,0.0,0.0,137.87580977495216
14,2021-01-25,136.5453861266814,140.31320406188038,141.88385904945986,136.5453861266814,136.5453861266814,5.242147780460563,5.242147780460563,5.242147780460563,6.050622567132975,6.050622567132975,6.050622567132975,-3.9757308673370346,-3.9757308673370346,-3.9757308673370346,-1.594405302639648,-1.594405302639648,-1.594405302639648,-2.2920054223559756,-2.2920054223559756,-2.2920054223559756,-0.009479941229693917,-0.009479941229693917,-0.009479941229693917,4.554600639795838,4.554600639795838,4.554600639795838,3.421148814031185,3.421148814031185,3.421148814031185,1.1334518257646504,1.1334518257646504,1.1334518257646504,0.0,0.0,0.0,141.09998676647723
15,2021-01-26,136.61804758126874,141.63599521646728,143.23812064996613,136.61804758126874,136.61804758126874,6.926008321116434,6.926008321116434,6.926008321116434,6.149334369833105,6.149334369833105,6.149334369833105,-3.6805579441742515,-3.6805579441742515,-3.6805579441742515,-1.5257119533771097,-1.5257119533771097,-1.5257119533771097,-3.231798997732589,-3.231798997732589,-3.231798997732589,-0.005409864621680329,-0.005409864621680329,-0.005409864621680329,5.798400024740686,5.798400024740686,5.798400024740686,4.63186393104391,4.63186393104391,4.63186393104391,1.1665360936967775,1.1665360936967775,1.1665360936967775,0.0,0.0,0.0,142.41644760600943
16,2021-01-27,136.6907090358561,141.21447822156097,142.87750289568325,136.6907090358561,136.6907090358561,7.847907315654055,7.847907315654055,7.847907315654055,5.068788681083853,5.068788681083853,5.068788681083853,-3.5389067463214414,-3.5389067463214414,-3.5389067463214414,-1.4593984112480627,-1.4593984112480627,-1.4593984112480627,-3.7756407547036126,-3.7756407547036126,-3.7756407547036126,-0.006875108533499335,-0.006875108533499335,-0.006875108533499335,5.348667234261104,5.348667234261104,5.348667234261104,4.135874975931293,4.135874975931293,4.135874975931293,1.212792258329812,1.212792258329812,1.212792258329812,0.0,0.0,0.0,142.0393762701172
17,2021-01-28,136.74924103587009,136.91568450865626,138.46087930586538,136.74924103587009,136.74924103587009,7.194733706757918,7.194733706757918,7.194733706757918,0.7640953920319314,0.7640953920319314,0.7640953920319314,-3.4803472101996955,-3.4803472101996955,-3.4803472101996955,-1.407653584139004,-1.407653584139004,-1.407653584139004,-3.3257954367140274,-3.3257954367140274,-3.3257954367140274,-0.007384550454614448,-0.007384550454614448,-0.007384550454614448,0.8897210767565921,0.8897210767565921,0.8897210767565921,-0.26235168271749126,-0.26235168271749126,-0.26235168271749126,1.1520727594740832,1.1520727594740832,1.1520727594740832,0.0,0.0,0.0,137.63896211262667
18,2021-01-29,136.80777303588408,132.7389502929187,134.33396773837603,136.80777303588408,136.80777303588408,5.274946097824897,5.274946097824897,5.274946097824897,-2.7193659106941293,-2.7193659106941293,-2.7193659106941293,-3.526772663997217,-3.526772663997217,-3.526772663997217,-1.3738147555381817,-1.3738147555381817,-1.3738147555381817,-2.1171772463367766,-2.1171772463367766,-2.1171772463367766,-0.010906247993112692,-0.010906247993112692,-0.010906247993112692,-3.2630390366777315,-3.2630390366777315,-3.2630390366777315,-4.47309072673452,-4.47309072673452,-4.47309072673452,1.2100516900567877,1.2100516900567877,1.2100516900567877,0.0,0.0,0.0,133.54473399920636
19,2021-02-01,136.98336903592605,133.90202773310523,135.4950842049109,136.98336903592605,136.98336903592605,4.212394300481981,4.212394300481981,4.212394300481981,-1.386021627629127,-1.386021627629127,-1.386021627629127,-3.4885243146736022,-3.4885243146736022,-3.4885243146736022,-1.3310084296044613,-1.3310084296044613,-1.3310084296044613,-1.4440843671039432,-1.4440843671039432,-1.4440843671039432,-0.0077495011473905995,-0.0077495011473905995,-0.0077495011473905995,-2.3115421139089607,-2.3115421139089607,-2.3115421139089607,-3.444993939676543,-3.444993939676543,-3.444993939676543,1.1334518257675823,1.1334518257675823,1.1334518257675823,0.0,0.0,0.0,134.6718269220171
